 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.83838600     -0.83838599     -0.83823860     -0.83823859     -0.83823859
     -0.83823857     -0.83823856     -0.83823855     -0.83815465     -0.83815464
     -0.83815462     -0.83801224     -0.83801223     -0.83801223     -0.83777351
     -0.83777351     -0.83777350     -0.83777349     -0.83777348     -0.83777347
     -0.42535410     -0.41211941     -0.41211939     -0.41211936     -0.40001971
     -0.40001970     -0.40001967     -0.39019183     -0.38628591     -0.38628590
     -0.38628587     -0.37703123     -0.37703120     -0.37703120     -0.37703118
     -0.37703118     -0.37703114     -0.37431358     -0.37431356     -0.37431355
     -0.36149923     -0.36149922     -0.36149919     -0.34935900     -0.34935898
     -0.34935896     -0.34724058     -0.34724055     -0.34724055     -0.34724053
     -0.34724053     -0.34724049     -0.30420704     -0.30420701     -0.30420701
     -0.30420699     -0.30420699     -0.30420696     -0.30276495     -0.30276493
     -0.30276491     -0.28982047     -0.28982046     -0.28982043     -0.28093472
     -0.28093470     -0.28093468     -0.26908380     -0.26908378     -0.26908378
     -0.26908376     -0.26908375     -0.26908373     -0.25874933     -0.25147580
     -0.25147579     -0.25147576     -0.23175795     -0.23175794     -0.23175792
     -0.19829173     -0.19829173     -0.19829172     -0.16737609     -0.16737609
     -0.16737609     -0.16622395     -0.16622394     -0.16622393     -0.16622393
     -0.16622392     -0.16622391     -0.15247878     -0.15247878     -0.15247876
     -0.15247875     -0.15247874     -0.15247873     -0.15227115     -0.15227114
     -0.15227112     -0.14950259     -0.13973032     -0.13973031     -0.13973030
     -0.13973030     -0.13973028     -0.13973027     -0.13659118     -0.13659116
     -0.13659114     -0.13425112     -0.13425111     -0.13425110     -0.13245874
     -0.13245872     -0.13245871     -0.12701379     -0.12701379     -0.12701377
     -0.12259979     -0.12259978     -0.12259977     -0.11491833     -0.11491831
     -0.11491830     -0.11461320     -0.11461319     -0.11461317     -0.11461316
     -0.11461315     -0.11461313     -0.10637721     -0.10637719     -0.10637717
     -0.10037463     -0.10037462     -0.10037460     -0.09666288     -0.09666286
     -0.09666285     -0.09353967     -0.09353967     -0.08419468     -0.08419466
     -0.08419465     -0.06722804     -0.06722803     -0.06506280     -0.04815646
     -0.02986441     -0.02986219     -0.02985716     -0.02679442     -0.02679096
     -0.02678523     -0.02506556     -0.02504509     -0.02498944     -0.01640833
     -0.01631782     -0.01619102     -0.01338488     -0.01329770     -0.01300234
     -0.01239168     -0.01236457     -0.01230814      0.00158140      0.00159683
      0.00160067      0.00161117      0.00162527      0.00175014      0.00180319
      0.00236574      0.00329070      0.00794825      0.00796521      0.00809495
      0.00875473      0.00926185      0.01000837      0.01343254      0.01414811
      0.01490545
 ===== energy eigen values =====
 ik =    3 ( -0.250000  0.250000 -0.250000 )
     -0.85376709     -0.85376708     -0.85376707     -0.85376706     -0.85376705
     -0.85376704     -0.85366600     -0.85366600     -0.85366599     -0.85337415
     -0.85337412     -0.85337411     -0.85327424     -0.85327424     -0.85327422
     -0.85327421     -0.85327420     -0.85327418     -0.85326135     -0.85326134
     -0.85326133     -0.85326132     -0.85326131     -0.85326131     -0.85316605
     -0.85316604     -0.85316601     -0.85315896     -0.85315892     -0.85315891
     -0.85306597     -0.85306596     -0.85306595     -0.85289198     -0.85289198
     -0.85289196     -0.85289195     -0.85289192     -0.85289191     -0.85282147
     -0.85282147     -0.85282146     -0.85266856     -0.85266854     -0.85266853
     -0.85265069     -0.85265068     -0.85265067     -0.85254728     -0.85254727
     -0.85254725     -0.85252151     -0.85252150     -0.85252149     -0.85236687
     -0.85236687     -0.85231883     -0.85231882     -0.85231879     -0.85214265
