  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   1536  -0.70920      0.0000000000    -17.505091      0.0000000000      639.9999999999
   1546  -0.70820      0.0000000000    -17.477880      0.0000000000      639.9999999999
   1556  -0.70720      0.0000000000    -17.450668      0.0000000000      639.9999999999
   1566  -0.70620      0.0000000000    -17.423457      0.0000000000      639.9999999999
   1576  -0.70520      0.0000000000    -17.396246      0.0000000000      639.9999999999
   1586  -0.70420      0.0000000000    -17.369034      0.0000000000      639.9999999999
   1596  -0.70320      0.0000000000    -17.341823      0.0000000000      639.9999999999
   1606  -0.70220      0.0000000000    -17.314611      0.0000000000      639.9999999999
   1616  -0.70120      0.0000000000    -17.287400      0.0000000000      639.9999999999
   1626  -0.70020      0.0000000000    -17.260189      0.0000000000      639.9999999999
   1636  -0.69920      0.0000000000    -17.232977      0.0000000000      639.9999999999
   1646  -0.69820      0.0000000000    -17.205766      0.0000000000      639.9999999999
   1656  -0.69720      0.0000000000    -17.178554      0.0000000000      639.9999999999
   1666  -0.69620      0.0000000000    -17.151343      0.0000000000      639.9999999999
   1676  -0.69520      0.0000000000    -17.124132      0.0000000000      639.9999999999
   1686  -0.69420      0.0000000000    -17.096920      0.0000000000      639.9999999999
   1696  -0.69320      0.0000000000    -17.069709      0.0000000000      639.9999999999
   1706  -0.69220      0.0000000000    -17.042497      0.0000000000      639.9999999999
   1716  -0.69120      0.0000000000    -17.015286      0.0000000000      639.9999999999
   1726  -0.69020      0.0000000000    -16.988075      0.0000000000      639.9999999999
   1736  -0.68920      0.0000000000    -16.960863      0.0000000000      639.9999999999
   1746  -0.68820      0.0000000000    -16.933652      0.0000000000      639.9999999999
   1756  -0.68720      0.0000000000    -16.906440      0.0000000000      639.9999999999
   1766  -0.68620      0.0000000000    -16.879229      0.0000000000      639.9999999999
   1776  -0.68520      0.0000000000    -16.852018      0.0000000000      639.9999999999
   1786  -0.68420      0.0000000000    -16.824806      0.0000000000      639.9999999999
   1796  -0.68320      0.0000000000    -16.797595      0.0000000000      639.9999999999
   1806  -0.68220      0.0000000000    -16.770383      0.0000000000      639.9999999999
   1816  -0.68120      0.0000000000    -16.743172      0.0000000000      639.9999999999
