 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.85490518     -0.85488430     -0.85488340     -0.85476224     -0.85476140
     -0.85470936     -0.85467523     -0.85460455     -0.85460220     -0.85433517
     -0.85420673     -0.85420635     -0.85418914     -0.85408898     -0.85407827
     -0.85407755     -0.85391922     -0.85391837     -0.85391606     -0.85367065
     -0.85367052     -0.85358197     -0.85358017     -0.85357860     -0.85345164
     -0.85345115     -0.85344558     -0.85328586     -0.85305221     -0.85305148
     -0.85301476     -0.85274149     -0.85260659     -0.85260464     -0.85252327
     -0.85252153     -0.85245862     -0.85227238     -0.85227179     -0.85227030
     -0.85196448     -0.85196434     -0.85176708     -0.85172314     -0.85172257
     -0.85158440     -0.85153235     -0.85152791     -0.85152713     -0.85142337
     -0.85142201     -0.85118552     -0.85116765     -0.85116722     -0.85097712
     -0.85088587     -0.85088496     -0.85076964     -0.85076875     -0.85057044
     -0.85053095     -0.85053062     -0.85046020     -0.85039877     -0.85039732
     -0.85036076     -0.85025508     -0.85025479     -0.85009372     -0.85007876
     -0.85007797     -0.84996464     -0.84995536     -0.84995506     -0.84975138
     -0.84966065     -0.84966025     -0.84963616     -0.84947351     -0.84941917
     -0.84941904     -0.84937341     -0.84934600     -0.84934452     -0.84923028
     -0.84923021     -0.84909072     -0.84909018     -0.84901113     -0.84900902
     -0.84895839     -0.84895707     -0.84889757     -0.84877254     -0.84877232
     -0.84871492     -0.84871443     -0.84860181     -0.84852893     -0.84851421
     -0.84851326     -0.84845938     -0.84833939     -0.84833831     -0.84822324
     -0.84819971     -0.84819872     -0.84816523     -0.84804462     -0.84804439
     -0.84798176     -0.84794280     -0.84794228     -0.84780842     -0.84766385
     -0.84766364     -0.84754498     -0.84754474     -0.84746244     -0.84740292
     -0.84733662     -0.84733419     -0.84723689     -0.84723600     -0.84723562
     -0.84712611     -0.84697586     -0.84697564     -0.84696326     -0.84686947
     -0.84681563     -0.84681531     -0.84664225     -0.84662968     -0.84662947
     -0.84649624     -0.84649575     -0.84644021     -0.84628930     -0.84628585
     -0.84623392     -0.84612249     -0.84612157     -0.84608016     -0.84607941
     -0.84602747     -0.84599413     -0.84589714     -0.84589674     -0.84579483
     -0.84579427     -0.84575482     -0.84563152     -0.84560425     -0.84560406
     -0.84549141     -0.84541079     -0.84536034     -0.84536025     -0.84527950
     -0.84527921     -0.84512412     -0.84510649     -0.84510630     -0.84504567
     -0.84503027     -0.84501369     -0.84501313     -0.84486244     -0.84486215
     -0.84477113     -0.84474925     -0.84468851     -0.84468797     -0.84454408
     -0.84454306     -0.84449472     -0.84449389     -0.84446749     -0.84445038
     -0.84431534     -0.84431031     -0.84423629     -0.84420670     -0.84420164
     -0.84410921     -0.84410755     -0.84399428     -0.84398946     -0.84398521
     -0.84388998     -0.84381516     -0.84381505     -0.84375754     -0.84374431
     -0.84374353     -0.84364114     -0.84351519     -0.84344684     -0.84344675
     -0.84329928     -0.84329884     -0.84325428     -0.84302685     -0.84302610
     -0.84293514     -0.84280843     -0.84280795     -0.84276674     -0.84276656
     -0.84265917     -0.84265874     -0.84247946     -0.84247930     -0.84246083
     -0.84212396     -0.84212295     -0.84207436     -0.84185010     -0.84184764
     -0.84180760     -0.84177040     -0.84172842     -0.84171655     -0.84161838
     -0.84160943     -0.84160307     -0.84148225     -0.84148165     -0.84126262
     -0.84126216     -0.84124090     -0.84111216     -0.84105470     -0.84105459
     -0.84102681     -0.84102608     -0.84102401     -0.84083842     -0.84067438
     -0.84067419     -0.84060005     -0.84055613     -0.84053064     -0.84053046
     -0.84048213     -0.84048199     -0.84045872     -0.84040726     -0.84040675
     -0.84039174     -0.84031682     -0.84031317     -0.84031265     -0.84025524
     -0.84025419     -0.84020260     -0.84020211     -0.84014092     -0.84013991
     -0.84008528     -0.84005861     -0.83998635     -0.83997143     -0.83997061
     -0.83981201     -0.83981177     -0.83966896     -0.83964152     -0.83956616
     -0.83956598     -0.83941659     -0.83882747     -0.83882084     -0.83882073
     -0.83864024     -0.83863917     -0.83860657     -0.83858981     -0.83858903
     -0.42641154     -0.41379635     -0.41379188     -0.41175071     -0.40167937
     -0.40167501     -0.39901931     -0.39077751     -0.38799740     -0.38799279
     -0.38609329     -0.37890937     -0.37885974     -0.37885183     -0.37842109
     -0.37841666     -0.37777677     -0.37532594     -0.37531874     -0.36816228
     -0.36311380     -0.36310911     -0.35691316     -0.35121352     -0.35120838
     -0.35118003     -0.34909877     -0.34902638     -0.34902073     -0.34750705
