 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.85535930     -0.85535929     -0.85529433     -0.85529433     -0.85512757
     -0.85512756     -0.85509368     -0.85508486     -0.85505761     -0.85505761
     -0.85496290     -0.85492647     -0.85492647     -0.85470877     -0.85470876
     -0.85467937     -0.85466686     -0.85466686     -0.85466277     -0.85404108
     -0.85392903     -0.85392902     -0.85384286     -0.85382593     -0.85375476
     -0.85375476     -0.85361174     -0.85360322     -0.85360322     -0.85357447
     -0.85337649     -0.85337648     -0.85331382     -0.85331381     -0.85319836
     -0.85317806     -0.85317805     -0.85317474     -0.85295241     -0.85293810
     -0.85293809     -0.85268302     -0.85258005     -0.85258004     -0.85248244
     -0.85248243     -0.85239606     -0.85217948     -0.85217948     -0.85214694
     -0.85195222     -0.85195221     -0.85179100     -0.85173829     -0.85173828
     -0.85155287     -0.85154015     -0.85154014     -0.85139965     -0.85139965
     -0.85139562     -0.85108936     -0.85108935     -0.85108023     -0.85107370
     -0.85094318     -0.85094317     -0.85080201     -0.85080201     -0.85062025
     -0.85060161     -0.85060161     -0.85053363     -0.85050364     -0.85050364
     -0.85034622     -0.85034622     -0.85032093     -0.85025701     -0.85018201
     -0.85018200     -0.85006758     -0.85001720     -0.85001720     -0.84994006
     -0.84965293     -0.84965293     -0.84964571     -0.84945829     -0.84943720
     -0.84943719     -0.84940389     -0.84940388     -0.84937511     -0.84933768
     -0.84933768     -0.84913100     -0.84907001     -0.84907000     -0.84900945
     -0.84891198     -0.84891197     -0.84885044     -0.84870346     -0.84870345
     -0.84862810     -0.84862810     -0.84850862     -0.84842414     -0.84842414
     -0.84836051     -0.84830384     -0.84822094     -0.84820337     -0.84820336
     -0.84811033     -0.84811032     -0.84804195     -0.84800111     -0.84800111
     -0.84792172     -0.84792171     -0.84790068     -0.84773492     -0.84758586
     -0.84758586     -0.84751256     -0.84751256     -0.84751051     -0.84740540
     -0.84733215     -0.84733214     -0.84723567     -0.84723567     -0.84719567
     -0.84699870     -0.84691430     -0.84691430     -0.84688174     -0.84685232
     -0.84675695     -0.84675694     -0.84667573     -0.84664454     -0.84664454
     -0.84649790     -0.84648835     -0.84648835     -0.84628575     -0.84628575
     -0.84624907     -0.84614210     -0.84614210     -0.84606943     -0.84606943
     -0.84604211     -0.84598311     -0.84592288     -0.84592287     -0.84579468
     -0.84579467     -0.84578779     -0.84575862     -0.84571808     -0.84571808
     -0.84547835     -0.84540088     -0.84536158     -0.84536158     -0.84528162
     -0.84528161     -0.84523412     -0.84509032     -0.84509032     -0.84506634
     -0.84505348     -0.84497365     -0.84497364     -0.84487920     -0.84487920
     -0.84477304     -0.84477304     -0.84474389     -0.84463461     -0.84454955
     -0.84454955     -0.84443535     -0.84437900     -0.84437899     -0.84432930
     -0.84432930     -0.84430022     -0.84422325     -0.84417145     -0.84417145
     -0.84406507     -0.84406506     -0.84403796     -0.84397841     -0.84397840
     -0.84388171     -0.84375669     -0.84375668     -0.84371715     -0.84365412
     -0.84365411     -0.84344252     -0.84340889     -0.84334769     -0.84334768
     -0.84320216     -0.84318591     -0.84318591     -0.84296305     -0.84292542
     -0.84292541     -0.84271712     -0.84271712     -0.84270500     -0.84270268
     -0.84260928     -0.84260928     -0.84243786     -0.84243754     -0.84243754
     -0.84214854     -0.84214854     -0.84210057     -0.84190439     -0.84190439
     -0.84189916     -0.84186750     -0.84180510     -0.84180510     -0.84176869
     -0.84176868     -0.84164846     -0.84164846     -0.84162092     -0.84146430
     -0.84140687     -0.84140687     -0.84130461     -0.84130461     -0.84123280
     -0.84118376     -0.84118376     -0.84117852     -0.84105671     -0.84070587
