  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   1736  -0.69240      0.0000000000    -16.808708      0.0000000000      629.9999999999
   1746  -0.69140      0.0000000000    -16.781497      0.0000000000      629.9999999999
   1756  -0.69040      0.0000000000    -16.754286      0.0000000000      629.9999999999
   1766  -0.68940      0.0000000000    -16.727074      0.0000000000      629.9999999999
   1776  -0.68840      0.0000000000    -16.699863      0.0000000000      629.9999999999
   1786  -0.68740      0.0000000000    -16.672651      0.0000000000      629.9999999999
   1796  -0.68640      0.0000000000    -16.645440      0.0000000000      629.9999999999
   1806  -0.68540      0.0000000000    -16.618229      0.0000000000      629.9999999999
   1816  -0.68440      0.0000000000    -16.591017      0.0000000000      629.9999999999
   1826  -0.68340      0.0000000000    -16.563806      0.0000000000      629.9999999999
   1836  -0.68240      0.0000000000    -16.536594      0.0000000000      629.9999999999
   1846  -0.68140      0.0000000000    -16.509383      0.0000000000      629.9999999999
   1856  -0.68040      0.0000000000    -16.482172      0.0000000000      629.9999999999
   1866  -0.67940      0.0000000000    -16.454960      0.0000000000      629.9999999999
   1876  -0.67840      0.0000000000    -16.427749      0.0000000000      629.9999999999
   1886  -0.67740      0.0000000000    -16.400537      0.0000000000      629.9999999999
   1896  -0.67640      0.0000000000    -16.373326      0.0000000000      629.9999999999
   1906  -0.67540      0.0000000000    -16.346115      0.0000000000      629.9999999999
   1916  -0.67440      0.0000000000    -16.318903      0.0000000000      629.9999999999
   1926  -0.67340      0.0000000000    -16.291692      0.0000000000      629.9999999999
   1936  -0.67240      0.0000000000    -16.264480      0.0000000000      629.9999999999
   1946  -0.67140      0.0000000000    -16.237269      0.0000000000      629.9999999999
   1956  -0.67040      0.0000000000    -16.210058      0.0000000000      629.9999999999
   1966  -0.66940      0.0000000000    -16.182846      0.0000000000      629.9999999999
   1976  -0.66840      0.0000000000    -16.155635      0.0000000000      629.9999999999
   1986  -0.66740      0.0000000000    -16.128423      0.0000000000      629.9999999999
   1996  -0.66640      0.0000000000    -16.101212      0.0000000000      629.9999999999
   2006  -0.66540      0.0000000000    -16.074001      0.0000000000      629.9999999999
   2016  -0.66440      0.0000000000    -16.046789      0.0000000000      629.9999999999
   2026  -0.66340      0.0000000000    -16.019578      0.0000000000      629.9999999999
   2036  -0.66240      0.0000000000    -15.992366      0.0000000000      629.9999999999
   2046  -0.66140      0.0000000000    -15.965155      0.0000000000      629.9999999999
   2056  -0.66040      0.0000000000    -15.937944      0.0000000000      629.9999999999
   2066  -0.65940      0.0000000000    -15.910732      0.0000000000      629.9999999999
   2076  -0.65840      0.0000000000    -15.883521      0.0000000000      629.9999999999
   2086  -0.65740      0.0000000000    -15.856310      0.0000000000      629.9999999999
   2096  -0.65640      0.0000000000    -15.829098      0.0000000000      629.9999999999
   2106  -0.65540      0.0000000000    -15.801887      0.0000000000      629.9999999999
   2116  -0.65440      0.0000000000    -15.774675      0.0000000000      629.9999999999
   2126  -0.65340      0.0000000000    -15.747464      0.0000000000      629.9999999999
   2136  -0.65240      0.0000000000    -15.720253      0.0000000000      629.9999999999
   2146  -0.65140      0.0000000000    -15.693041      0.0000000000      629.9999999999
   2156  -0.65040      0.0000000000    -15.665830      0.0000000000      629.9999999999
   2166  -0.64940      0.0000000000    -15.638618      0.0000000000      629.9999999999
   2176  -0.64840      0.0000000000    -15.611407      0.0000000000      629.9999999999
   2186  -0.64740      0.0000000000    -15.584196      0.0000000000      629.9999999999
   2196  -0.64640      0.0000000000    -15.556984      0.0000000000      629.9999999999
   2206  -0.64540      0.0000000000    -15.529773      0.0000000000      629.9999999999
   2216  -0.64440      0.0000000000    -15.502561      0.0000000000      629.9999999999
   2226  -0.64340      0.0000000000    -15.475350      0.0000000000      629.9999999999
   2236  -0.64240      0.0000000000    -15.448139      0.0000000000      629.9999999999
   2246  -0.64140      0.0000000000    -15.420927      0.0000000000      629.9999999999
   2256  -0.64040      0.0000000000    -15.393716      0.0000000000      629.9999999999
   2266  -0.63940      0.0000000000    -15.366504      0.0000000000      629.9999999999
   2276  -0.63840      0.0000000000    -15.339293      0.0000000000      629.9999999999
   2286  -0.63740      0.0000000000    -15.312082      0.0000000000      629.9999999999
   2296  -0.63640      0.0000000000    -15.284870      0.0000000000      629.9999999999
   2306  -0.63540      0.0000000000    -15.257659      0.0000000000      629.9999999999
   2316  -0.63440      0.0000000000    -15.230447      0.0000000000      629.9999999999
   2326  -0.63340      0.0000000000    -15.203236      0.0000000000      629.9999999999
   2336  -0.63240      0.0000000000    -15.176025      0.0000000000      629.9999999999
   2346  -0.63140      0.0000000000    -15.148813      0.0000000000      629.9999999999
   2356  -0.63040      0.0000000000    -15.121602      0.0000000000      629.9999999999
   2366  -0.62940      0.0000000000    -15.094390      0.0000000000      629.9999999999
   2376  -0.62840      0.0000000000    -15.067179      0.0000000000      629.9999999999
   2386  -0.62740      0.0000000000    -15.039968      0.0000000000      629.9999999999
   2396  -0.62640      0.0000000000    -15.012756      0.0000000000      629.9999999999
   2406  -0.62540      0.0000000000    -14.985545      0.0000000000      629.9999999999
   2416  -0.62440      0.0000000000    -14.958333      0.0000000000      629.9999999999
   2426  -0.62340      0.0000000000    -14.931122      0.0000000000      629.9999999999
   2436  -0.62240      0.0000000000    -14.903911      0.0000000000      629.9999999999
   2446  -0.62140      0.0000000000    -14.876699      0.0000000000      629.9999999999
   2456  -0.62040      0.0000000000    -14.849488      0.0000000000      629.9999999999
   2466  -0.61940      0.0000000000    -14.822276      0.0000000000      629.9999999999
   2476  -0.61840      0.0000000000    -14.795065      0.0000000000      629.9999999999
   2486  -0.61740      0.0000000000    -14.767854      0.0000000000      629.9999999999
   2496  -0.61640      0.0000000000    -14.740642      0.0000000000      629.9999999999
   2506  -0.61540      0.0000000000    -14.713431      0.0000000000      629.9999999999
   2516  -0.61440      0.0000000000    -14.686219      0.0000000000      629.9999999999
   2526  -0.61340      0.0000000000    -14.659008      0.0000000000      629.9999999999
   2536  -0.61240      0.0000000000    -14.631797      0.0000000000      629.9999999999
   2546  -0.61140      0.0000000000    -14.604585      0.0000000000      629.9999999999
   2556  -0.61040      0.0000000000    -14.577374      0.0000000000      629.9999999999
   2566  -0.60940      0.0000000000    -14.550163      0.0000000000      629.9999999999
   2576  -0.60840      0.0000000000    -14.522951      0.0000000000      629.9999999999
   2586  -0.60740      0.0000000000    -14.495740      0.0000000000      629.9999999999
   2596  -0.60640      0.0000000000    -14.468528      0.0000000000      629.9999999999
   2606  -0.60540      0.0000000000    -14.441317      0.0000000000      629.9999999999
   2616  -0.60440      0.0000000000    -14.414106      0.0000000000      629.9999999999
   2626  -0.60340      0.0000000000    -14.386894      0.0000000000      629.9999999999
   2636  -0.60240      0.0000000000    -14.359683      0.0000000000      629.9999999999
   2646  -0.60140      0.0000000000    -14.332471      0.0000000000      629.9999999999
   2656  -0.60040      0.0000000000    -14.305260      0.0000000000      629.9999999999
   2666  -0.59940      0.0000000000    -14.278049      0.0000000000      629.9999999999
   2676  -0.59840      0.0000000000    -14.250837      0.0000000000      629.9999999999
   2686  -0.59740      0.0000000000    -14.223626      0.0000000000      629.9999999999
   2696  -0.59640      0.0000000000    -14.196414      0.0000000000      629.9999999999
   2706  -0.59540      0.0000000000    -14.169203      0.0000000000      629.9999999999
   2716  -0.59440      0.0000000000    -14.141992      0.0000000000      629.9999999999
   2726  -0.59340      0.0000000000    -14.114780      0.0000000000      629.9999999999
   2736  -0.59240      0.0000000000    -14.087569      0.0000000000      629.9999999999
   2746  -0.59140      0.0000000000    -14.060357      0.0000000000      629.9999999999
   2756  -0.59040      0.0000000000    -14.033146      0.0000000000      629.9999999999
   2766  -0.58940      0.0000000000    -14.005935      0.0000000000      629.9999999999
