 ===== energy eigen values =====
      0.46987346      0.48535161      0.48535165      0.48535167      0.49604168
      0.49604168      0.49604169      0.51237952      0.51237959      0.51237964
      0.54201766      0.54201768      0.54201769      0.61798683      0.61798693
      0.61798700      0.61945089      0.61945090      0.61945091      0.64102788
      0.64102789      0.64102790      0.66173377      0.66173377      0.66226336
      0.69103538      0.69103543      0.69103547      0.70589048      0.70589048
      0.70589048      0.71680547      0.71680547      0.72055082      0.72055083
      0.72055085      0.73217234      0.73217236      0.73217239      0.74886970
      0.77395443      0.77752741      0.77752745      0.77752749      0.77814995
      0.77814995      0.79533818      0.79533825      0.79533830      0.83654951
      0.83654952      0.83654954      0.85802839      0.85802847      0.85802852
      0.89047364      0.90032057      0.90069890      0.90069897      0.91054009
      0.91054020      0.91054036      0.91110618      0.91110679      0.92964413
      0.93321322      0.93321452      0.93322025      0.93557560      0.93557610
      0.97196116      0.97196240      0.97197722      0.99279910      0.99949607
      0.99951856      0.99952986      1.00685326      1.00693126      1.00719224
      1.01098184      1.03527856      1.03803455      1.05970949      1.06159798
      1.06515840      1.07593864
 ===== occupations =====
 ik =    1 (  0.250000  0.250000  0.250000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000
 ===== occupations =====
 ik =    2 ( -0.250000 -0.250000  0.250000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
