 --- primitive lattice vectors ---
    34  -0.0135750544 -0.0124711303 -0.0157743211
    35   0.0470009558 -0.0325099580 -0.0333337331
    36   0.0211868339 -0.0124362824 -0.0131461041
    37   0.0014165917 -0.0191172433  0.0030598034
    38   0.0335386871  0.0065529989 -0.0013973728
    39   0.0011262037  0.0038544350 -0.0186875181
    40   0.0318296883 -0.0027302240  0.0049975984
    41  -0.0044906212  0.0145189087  0.0024292238
    42   0.0181181974  0.0215707882 -0.0553574392
    43   0.0946781729  0.0462770985 -0.0674741264
    44   0.0050045890  0.0187380765 -0.0289544287
    45   0.0146734396  0.0050000266 -0.0010392740
    46  -0.1634948664  0.1856928262 -0.2328289909
    47   0.0006268953  0.0094910093  0.0189719060
    48  -0.0180019657 -0.0008369179 -0.0490844683
    49  -0.0044624389  0.0022787096  0.0157455219
    50   0.0156504922 -0.0558699569  0.0233234539
    51   0.0985985165 -0.0694871070  0.0482905733
    52   0.0025211630 -0.0307858242  0.0193498343
    53  -0.0031087588  0.0248541160  0.0123786845
    54  -0.0201948078 -0.0501982360  0.0002936261
    55   0.0150104849 -0.0002824238  0.0055235921
    56  -0.1809909976 -0.2486129049  0.2016079542
    57   0.0175175216 -0.0088447552 -0.0095501249
    58   0.1464556514  0.0831028270  0.0823505841
    59  -0.0334366146  0.0029640332 -0.0004164973
    60  -0.0245286505 -0.0702851275 -0.0556551944
    61   0.0611199744  0.0161205662 -0.0630799185
    62  -0.0281340440 -0.0584390685 -0.0761818858
    63   0.0594276345 -0.0614880803  0.0175168584
 n=     4 A   IR&R
     hbarW= -0.74449473E-06 Ha = -0.20258732E-04 eV; nu= -0.16339771E+00 cm^-1
     1  -0.1226082701 -0.0144389212 -0.0262351179
     2  -0.1219441457 -0.0142897128 -0.0262252082
     3  -0.1223053431 -0.0144476042 -0.0262402396
     4  -0.1221887231 -0.0145916029 -0.0264582735
     5  -0.1222098116 -0.0146457582 -0.0264196239
     6  -0.1223117854 -0.0145105276 -0.0264940198
     7  -0.1223886630 -0.0146815872 -0.0264581817
     8  -0.1222502652 -0.0146786630 -0.0263398690
     9  -0.1223986190 -0.0146023996 -0.0263315887
    10  -0.1222692945 -0.0147326751 -0.0264228853
    11  -0.1223415600 -0.0147068890 -0.0263687271
    12  -0.1223887727 -0.0145219620 -0.0263500552
    13  -0.1224296731 -0.0145158725 -0.0263459581
    14  -0.1223520547 -0.0146534973 -0.0264305504
    15  -0.1222217210 -0.0144791895 -0.0265724722
    16  -0.1225126158 -0.0147163653 -0.0262662822
