  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   1636  -0.70260      0.0000000000    -17.089468      0.0000000000      629.9999999999
   1646  -0.70160      0.0000000000    -17.062257      0.0000000000      629.9999999999
   1656  -0.70060      0.0000000000    -17.035045      0.0000000000      629.9999999999
   1666  -0.69960      0.0000000000    -17.007834      0.0000000000      629.9999999999
   1676  -0.69860      0.0000000000    -16.980622      0.0000000000      629.9999999999
   1686  -0.69760      0.0000000000    -16.953411      0.0000000000      629.9999999999
   1696  -0.69660      0.0000000000    -16.926200      0.0000000000      629.9999999999
   1706  -0.69560      0.0000000000    -16.898988      0.0000000000      629.9999999999
   1716  -0.69460      0.0000000000    -16.871777      0.0000000000      629.9999999999
   1726  -0.69360      0.0000000000    -16.844565      0.0000000000      629.9999999999
   1736  -0.69260      0.0000000000    -16.817354      0.0000000000      629.9999999999
   1746  -0.69160      0.0000000000    -16.790143      0.0000000000      629.9999999999
   1756  -0.69060      0.0000000000    -16.762931      0.0000000000      629.9999999999
   1766  -0.68960      0.0000000000    -16.735720      0.0000000000      629.9999999999
   1776  -0.68860      0.0000000000    -16.708508      0.0000000000      629.9999999999
   1786  -0.68760      0.0000000000    -16.681297      0.0000000000      629.9999999999
   1796  -0.68660      0.0000000000    -16.654086      0.0000000000      629.9999999999
   1806  -0.68560      0.0000000000    -16.626874      0.0000000000      629.9999999999
   1816  -0.68460      0.0000000000    -16.599663      0.0000000000      629.9999999999
   1826  -0.68360      0.0000000000    -16.572451      0.0000000000      629.9999999999
   1836  -0.68260      0.0000000000    -16.545240      0.0000000000      629.9999999999
   1846  -0.68160      0.0000000000    -16.518029      0.0000000000      629.9999999999
   1856  -0.68060      0.0000000000    -16.490817      0.0000000000      629.9999999999
   1866  -0.67960      0.0000000000    -16.463606      0.0000000000      629.9999999999
   1876  -0.67860      0.0000000000    -16.436394      0.0000000000      629.9999999999
   1886  -0.67760      0.0000000000    -16.409183      0.0000000000      629.9999999999
   1896  -0.67660      0.0000000000    -16.381972      0.0000000000      629.9999999999
   1906  -0.67560      0.0000000000    -16.354760      0.0000000000      629.9999999999
   1916  -0.67460      0.0000000000    -16.327549      0.0000000000      629.9999999999
   1926  -0.67360      0.0000000000    -16.300337      0.0000000000      629.9999999999
   1936  -0.67260      0.0000000000    -16.273126      0.0000000000      629.9999999999
   1946  -0.67160      0.0000000000    -16.245915      0.0000000000      629.9999999999
   1956  -0.67060      0.0000000000    -16.218703      0.0000000000      629.9999999999
   1966  -0.66960      0.0000000000    -16.191492      0.0000000000      629.9999999999
   1976  -0.66860      0.0000000000    -16.164281      0.0000000000      629.9999999999
   1986  -0.66760      0.0000000000    -16.137069      0.0000000000      629.9999999999
   1996  -0.66660      0.0000000000    -16.109858      0.0000000000      629.9999999999
   2006  -0.66560      0.0000000000    -16.082646      0.0000000000      629.9999999999
   2016  -0.66460      0.0000000000    -16.055435      0.0000000000      629.9999999999
   2026  -0.66360      0.0000000000    -16.028224      0.0000000000      629.9999999999
   2036  -0.66260      0.0000000000    -16.001012      0.0000000000      629.9999999999
   2046  -0.66160      0.0000000000    -15.973801      0.0000000000      629.9999999999
   2056  -0.66060      0.0000000000    -15.946589      0.0000000000      629.9999999999
   2066  -0.65960      0.0000000000    -15.919378      0.0000000000      629.9999999999
   2076  -0.65860      0.0000000000    -15.892167      0.0000000000      629.9999999999
   2086  -0.65760      0.0000000000    -15.864955      0.0000000000      629.9999999999
   2096  -0.65660      0.0000000000    -15.837744      0.0000000000      629.9999999999
   2106  -0.65560      0.0000000000    -15.810532      0.0000000000      629.9999999999
   2116  -0.65460      0.0000000000    -15.783321      0.0000000000      629.9999999999
   2126  -0.65360      0.0000000000    -15.756110      0.0000000000      629.9999999999
   2136  -0.65260      0.0000000000    -15.728898      0.0000000000      629.9999999999
   2146  -0.65160      0.0000000000    -15.701687      0.0000000000      629.9999999999
   2156  -0.65060      0.0000000000    -15.674475      0.0000000000      629.9999999999
   2166  -0.64960      0.0000000000    -15.647264      0.0000000000      629.9999999999
   2176  -0.64860      0.0000000000    -15.620053      0.0000000000      629.9999999999
   2186  -0.64760      0.0000000000    -15.592841      0.0000000000      629.9999999999
   2196  -0.64660      0.0000000000    -15.565630      0.0000000000      629.9999999999
   2206  -0.64560      0.0000000000    -15.538418      0.0000000000      629.9999999999
   2216  -0.64460      0.0000000000    -15.511207      0.0000000000      629.9999999999
   2226  -0.64360      0.0000000000    -15.483996      0.0000000000      629.9999999999
   2236  -0.64260      0.0000000000    -15.456784      0.0000000000      629.9999999999
   2246  -0.64160      0.0000000000    -15.429573      0.0000000000      629.9999999999
   2256  -0.64060      0.0000000000    -15.402361      0.0000000000      629.9999999999
   2266  -0.63960      0.0000000000    -15.375150      0.0000000000      629.9999999999
   2276  -0.63860      0.0000000000    -15.347939      0.0000000000      629.9999999999
   2286  -0.63760      0.0000000000    -15.320727      0.0000000000      629.9999999999
   2296  -0.63660      0.0000000000    -15.293516      0.0000000000      629.9999999999
   2306  -0.63560      0.0000000000    -15.266304      0.0000000000      629.9999999999
   2316  -0.63460      0.0000000000    -15.239093      0.0000000000      629.9999999999
   2326  -0.63360      0.0000000000    -15.211882      0.0000000000      629.9999999999
   2336  -0.63260      0.0000000000    -15.184670      0.0000000000      629.9999999999
   2346  -0.63160      0.0000000000    -15.157459      0.0000000000      629.9999999999
   2356  -0.63060      0.0000000000    -15.130247      0.0000000000      629.9999999999
   2366  -0.62960      0.0000000000    -15.103036      0.0000000000      629.9999999999
   2376  -0.62860      0.0000000000    -15.075825      0.0000000000      629.9999999999
   2386  -0.62760      0.0000000000    -15.048613      0.0000000000      629.9999999999
   2396  -0.62660      0.0000000000    -15.021402      0.0000000000      629.9999999999
   2406  -0.62560      0.0000000000    -14.994190      0.0000000000      629.9999999999
   2416  -0.62460      0.0000000000    -14.966979      0.0000000000      629.9999999999
   2426  -0.62360      0.0000000000    -14.939768      0.0000000000      629.9999999999
   2436  -0.62260      0.0000000000    -14.912556      0.0000000000      629.9999999999
   2446  -0.62160      0.0000000000    -14.885345      0.0000000000      629.9999999999
   2456  -0.62060      0.0000000000    -14.858134      0.0000000000      629.9999999999
   2466  -0.61960      0.0000000000    -14.830922      0.0000000000      629.9999999999
   2476  -0.61860      0.0000000000    -14.803711      0.0000000000      629.9999999999
   2486  -0.61760      0.0000000000    -14.776499      0.0000000000      629.9999999999
   2496  -0.61660      0.0000000000    -14.749288      0.0000000000      629.9999999999
   2506  -0.61560      0.0000000000    -14.722077      0.0000000000      629.9999999999
   2516  -0.61460      0.0000000000    -14.694865      0.0000000000      629.9999999999
   2526  -0.61360      0.0000000000    -14.667654      0.0000000000      629.9999999999
   2536  -0.61260      0.0000000000    -14.640442      0.0000000000      629.9999999999
   2546  -0.61160      0.0000000000    -14.613231      0.0000000000      629.9999999999
   2556  -0.61060      0.0000000000    -14.586020      0.0000000000      629.9999999999
   2566  -0.60960      0.0000000000    -14.558808      0.0000000000      629.9999999999
   2576  -0.60860      0.0000000000    -14.531597      0.0000000000      629.9999999999
   2586  -0.60760      0.0000000000    -14.504385      0.0000000000      629.9999999999
   2596  -0.60660      0.0000000000    -14.477174      0.0000000000      629.9999999999
   2606  -0.60560      0.0000000000    -14.449963      0.0000000000      629.9999999999
   2616  -0.60460      0.0000000000    -14.422751      0.0000000000      629.9999999999
   2626  -0.60360      0.0000000000    -14.395540      0.0000000000      629.9999999999
   2636  -0.60260      0.0000000000    -14.368328      0.0000000000      629.9999999999
   2646  -0.60160      0.0000000000    -14.341117      0.0000000000      629.9999999999
