 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.84624157     -0.84613029     -0.84613028     -0.84604206     -0.84604204
     -0.84602632     -0.84597802     -0.84588516     -0.84588514     -0.84578675
     -0.84578674     -0.84573746     -0.84569294     -0.84564982     -0.84564982
     -0.84545053     -0.84535388     -0.84532487     -0.84532486     -0.84524503
     -0.84524501     -0.84518965     -0.84507468     -0.84507467     -0.84503913
     -0.84503601     -0.84494630     -0.84494629     -0.84487325     -0.84487324
     -0.84476666     -0.84471365     -0.84471364     -0.84463100     -0.84452556
     -0.84452554     -0.84445617     -0.84442717     -0.84442717     -0.84431708
     -0.84426848     -0.84426847     -0.84424566     -0.84419105     -0.84419104
     -0.84406670     -0.84406668     -0.84403102     -0.84399595     -0.84399593
     -0.84387502     -0.84377379     -0.84377377     -0.84371957     -0.84371957
     -0.84370275     -0.84352098     -0.84342399     -0.84337698     -0.84337696
     -0.84320193     -0.84318161     -0.84318160     -0.84293024     -0.84290983
     -0.84290982     -0.84273537     -0.84270814     -0.84270813     -0.84265116
     -0.84258401     -0.84258399     -0.84241793     -0.84241792     -0.84240333
     -0.84214797     -0.84214795     -0.84208294     -0.84188762     -0.84188762
     -0.84187151     -0.84186158     -0.84178669     -0.84178668     -0.84171375
     -0.84171373     -0.84161327     -0.84160334     -0.84160334     -0.84139491
     -0.84134010     -0.84134009     -0.84122183     -0.84122181     -0.84117049
     -0.84112649     -0.84112649     -0.84110365     -0.84099914     -0.84066206
     -0.84066204     -0.84064536     -0.84060641     -0.84059869     -0.84059867
     -0.84047413     -0.84045121     -0.84045120     -0.84041578     -0.84040874
     -0.84040873     -0.84037895     -0.84034297     -0.84034296     -0.84020618
     -0.84020618     -0.84008022     -0.84008021     -0.84003918     -0.84003916
     -0.84002230     -0.83988263     -0.83987461     -0.83983335     -0.83983334
     -0.83970145     -0.83970142     -0.83957718     -0.83940720     -0.83934918
     -0.83934913     -0.83920132     -0.83876224     -0.83875009     -0.83875000
     -0.83857061     -0.83857054     -0.83853418     -0.83851747     -0.83851740
     -0.42631344     -0.41367088     -0.41367082     -0.41157970     -0.40153074
     -0.40153067     -0.39871408     -0.39039517     -0.38791032     -0.38791026
     -0.38586222     -0.37886562     -0.37886560     -0.37882551     -0.37823296
     -0.37823282     -0.37793774     -0.37474211     -0.37474198     -0.36763830
     -0.36295354     -0.36295347     -0.35603886     -0.35135374     -0.35120245
     -0.35120240     -0.34898279     -0.34896185     -0.34896178     -0.34681457
     -0.34681446     -0.32493667     -0.30613454     -0.30613453     -0.30597046
